rid,resp_employ,num_cc_nonhh,num_cc_work,num_cc,age,agecat,num_cc,weight_pooled
5fc589b9-3d73-a0d7-625a-50b4f7808cd6,Yes,2,0,4,35,"[35,45)",4,0.412007218
5fc5853e-bee9-0e67-4926-303319b17017,Yes,0,0,1,40,"[35,45)",1,1.644581881
5fc58427-dc47-efe9-9fae-d7a5b6892390,No,2,NA,7,37,"[35,45)",7,0.559312512
5fc58579-d37f-a1fb-d689-03e1589460e5,Yes,3,0,4,68,"[65,100]",4,1.006448559
5fc588b9-c487-0876-43fd-54ce7c6631aa,Yes,0,9,2,33,"[25,35)",2,1.225239953
5fc58564-6305-2c00-7264-ae0537bff647,Yes,0,0,3,45,"[45,55)",3,2.928175338
5fc58a09-4566-1ac2-ddb6-7cb61fb8d68f,Yes,5,0,6,34,"[25,35)",6,1.357020516
5fc58a7c-06ba-266e-fced-5088866ac278,Yes,0,1,0,25,"[25,35)",0,0.257048744
5fc58adf-6cf1-78e5-7be2-ca6e69a9beda,No,0,NA,3,45,"[45,55)",3,0.460043776
5fc58b5e-8e54-1107-4b45-2b4f698765f2,Yes,0,0,2,46,"[45,55)",2,0.459657861
5fc58a89-1e06-70ec-058e-6430793ffd6c,No,2,NA,3,73,"[65,100]",3,4.368563371
5fc58aa0-9996-ba83-f1e4-aeb3b2390680,Yes,5,0,8,42,"[35,45)",8,0.831463161
5fc583d5-3623-8f20-f694-b2f142b357ca,No,2,NA,5,42,"[35,45)",5,4.940450577
5fc58aa5-de09-fec7-f3ce-9b5272b6e879,Yes,1,1,2,62,"[55,65)",2,0.677740954
5fc58c47-8abe-6c7b-e084-9b4080fafa19,Yes,0,0,2,40,"[35,45)",2,0.349000496
5fc58bf3-85e8-314c-5418-edc8fcba81f6,Yes,3,0,3,22,"[18,25)",3,0.217699452
5fc584e3-1005-05a5-b8f6-2917357999d7,Yes,1,0,2,48,"[45,55)",2,0.341812326
5fc58cb5-c108-ad34-1f86-4fb7b7181425,Yes,2,0,3,35,"[35,45)",3,0.271730662
5fc58be8-3e3f-0e10-5f40-c8aa92c0fe34,No,0,NA,2,61,"[55,65)",2,1.549819155
5fc58aa4-0733-7d27-7732-7f5f55baf2f0,Yes,2,0,3,40,"[35,45)",3,0.469054087
5fc58b97-211f-5072-556c-e78aaaae3922,No,2,NA,3,71,"[65,100]",3,1.108873022
5fc58a83-268b-a1d6-0b93-853b617c1af0,Yes,3,0,7,32,"[25,35)",7,0.393843541
5fc58cee-3261-a640-ef90-d7ab914359e8,Yes,5,0,6,55,"[55,65)",6,1.027196783
